timestamp,content_airframe_registration,content_airframe_type_icao_value,content_airframe_wtc,content_arrival_aerodrome_actual_icao_value,content_arrival_aerodrome_scheduled_icao_value,content_arrival_time_inBlock_actual,content_arrival_time_landing_estimated,content_arrival_time_landing_scheduled,content_carrier_icao_quality,content_carrier_icao_value,content_departure_aerodrome_actual_icao_value,content_departure_aerodrome_scheduled_icao_value,content_departure_time_offBlock_estimated,content_departure_time_takeoff_actual,content_departure_time_takeoff_planned,content_departure_time_takeoff_scheduled,content_gufi,content_identification_callsign_quality,content_identification_callsign_value,content_identification_iataFlightNumber_quality,content_identification_iataFlightNumber_value,content_identification_squawk,content_movement_altitude_gps,content_movement_direction_heading,content_movement_position_lat,content_movement_position_lon,content_movement_speed_ground,content_movement_timestamp,content_movement_type,content_route_cruisingAltitude,content_route_cruisingSpeed,content_route_initialFlightRules,content_route_text,content_status
2017-03-01T23:55:26.659Z,GFBJI,E170,MEDIUM,EGCC,,,2017-03-01T21:25:00Z,,RECEIVED,BEE,EDDL,,2017-03-01T19:50:00Z,,,,e9cc19d9-a1d2-44ec-a968-db5ca8ab6735,RECEIVED,BEE7ME,,,,,,,,,,,,,IFR,N0454F380 SONEB4J SONEB UP64 TENLI UL602 SPY UY70 OTBED/N0314F170,PLANNED
2017-03-01T21:26:40.472Z,GFBJA,E170,MEDIUM,LFLL,,,2017-02-28T12:36:00Z,,RECEIVED,BEE,EGBB,,2017-02-28T11:00:00Z,,,,a49769d1-473f-44af-8865-79ef2034a1e1,RECEIVED,BEE672J,,,,,,,,,,,,,IFR,N0398F310 ADMEX Y321 EMKUK UL612 WOD/N0416F330 UL612 MID/N0434F350 UL612 OKEKO/N0369F270 UL612 OKIRA/N0335F210 UL612 MOU/N0314F170,PLANNED
2017-03-01T22:38:25.611Z,,DH8D,MEDIUM,,EDDL,,2017-03-01T20:50:00Z,2017-03-01T20:50:00Z,DERIVED,BEE,,EGBB,,,2017-03-01T19:35:00Z,2017-03-01T19:35:00Z,9a1432d8-f3b0-4fe2-be33-a3543c8b800a,,,DERIVED,BE7051,,,,,,,,,,259,,,SCHEDULED
2017-03-01T23:02:15.748Z,,DH8D,MEDIUM,,EGPH,,2017-03-01T09:40:00Z,2017-03-01T09:40:00Z,DERIVED,BEE,,EGBB,,,2017-03-01T08:50:00Z,2017-03-01T08:50:00Z,27da61c2-1e74-42b1-bd43-4295431bf6d5,,,DERIVED,BE843,,,,,,,,,,262,,,SCHEDULED
2017-03-01T20:43:24.457Z,GFBEI,E190,MEDIUM,LFPG,,,2017-02-28T18:37:00Z,,RECEIVED,BEE,EGCC,,2017-02-28T17:15:00Z,,,,ab0f09cf-495a-49ff-bd78-b5f375fb309c,RECEIVED,BEE3131,,,,,,,,,,,,,IFR,N0379F290 SANBA N859 HON/N0394F310 UL612 IXURA/N0432F350 UL612 WOD UM605 SFD/N0355F250 UM605 PETAX/N0355F250 UM605 BIBAX/N0295F130,PLANNED
2017-03-01T23:02:09.484Z,,E190,MEDIUM,,EGFF,,2017-03-01T08:40:00Z,2017-03-01T08:40:00Z,DERIVED,BEE,,EGPH,,,2017-03-01T07:45:00Z,2017-03-01T07:45:00Z,bf02204b-4d5a-4af8-b230-03c57cba3f62,,,DERIVED,BE4502,,,,,,,,,,219,,,SCHEDULED
2017-03-01T23:27:31.428Z,GECOC,DH8D,MEDIUM,EGCC,,,2017-03-01T19:37:00Z,,RECEIVED,BEE,EGPH,,2017-03-01T18:30:00Z,,,,911895b8-4c2f-454e-9970-a2610fcaf55b,RECEIVED,BEE9YR,,,,,,,,,,,,,IFR,N0320F250 TLA N864 DCS UL612 LAKEY,PLANNED
2017-03-01T23:02:10.627Z,,DH8D,MEDIUM,,EGBB,,2017-03-01T13:30:00Z,2017-03-01T13:30:00Z,DERIVED,BEE,,EHAM,,,2017-03-01T12:25:00Z,2017-03-01T12:25:00Z,d22d7d27-12f8-47bb-841b-11744e60bec3,,,DERIVED,BE104,,,,,,,,,,221,,,SCHEDULED
2017-03-01T20:42:25.902Z,GJECH,DH8D,MEDIUM,LIMC,,,2017-02-28T16:42:00Z,,RECEIVED,BEE,EDDV,,2017-02-28T14:20:00Z,,,,27235c4e-95c7-42ee-9741-8d3215c8b87c,RECEIVED,BEE57A,,,,,,,,,,,,,IFR,N0311F230 WRB1G WRB N850 TRA/N0308F170 N850 RIPUS/N0308F190 N850 GERSA/N0314F190 N850 DEGAD Z424 AKASU,PLANNED
2017-03-01T20:40:45.312Z,GFBEN,E190,MEDIUM,EGFF,,,2017-02-28T20:06:00Z,,RECEIVED,BEE,EGPH,,2017-02-28T18:55:00Z,,,,c15e7500-5e70-4497-89ce-d3167e67133b,RECEIVED,BEE9PY,,,,,,,,,,,,,IFR,N0380F290 GOSAM P600 FENIK UL612 DCS UN864 SUBUK DCT NOKIN UN862 RETSI/N0354F160,PLANNED
